"txn_time","txn_date","order_id","uid","shop_id","shop_owner_uid","gmv","rebate"
"2019-10-30 21:41:00","2019-10-30 00:00:00",142136540,103031446,28189,1009053,28000,8400
"2019-10-30 14:44:00","2019-10-30 00:00:00",142034522,101146218,28190,1009053,34000,10200
"2019-10-30 08:03:00","2019-10-30 00:00:00",141922630,100575281,28202,1009055,25000,0
"2019-10-30 18:07:00","2019-10-30 00:00:00",142085933,102140856,28203,1009056,255000,20000
"2019-10-30 11:51:00","2019-10-30 00:00:00",141974941,103850174,28204,1009056,70000,0
"2019-10-30 18:35:00","2019-10-30 00:00:00",142091527,1742460,28204,1009056,140000,20000
"2019-10-30 12:34:00","2019-10-30 00:00:00",141990240,100545326,28311,1009512,25000,7500
"2019-10-30 15:41:00","2019-10-30 00:00:00",142054276,101894389,28311,1009512,30000,9000
"2019-10-30 11:16:00","2019-10-30 00:00:00",141964061,101091044,28312,1009512,82000,20000
"2019-10-30 08:57:00","2019-10-30 00:00:00",141931271,101102841,28319,1009512,48500,14550
"2019-10-30 12:22:00","2019-10-30 00:00:00",141986605,100736139,2862,103101353,34000,10200
"2019-10-30 13:09:00","2019-10-30 00:00:00",142000144,100196219,28665,1009617,1000,0
"2019-10-30 14:20:00","2019-10-30 00:00:00",142023454,100862482,28665,1009617,305000,20000
"2019-10-30 20:52:00","2019-10-30 00:00:00",142125676,102724813,28737,1010042,86000,20000
"2019-10-30 19:39:00","2019-10-30 00:00:00",142107465,100248117,28738,1010042,97000,20000
"2019-10-30 19:25:00","2019-10-30 00:00:00",142103969,100892067,28750,1010262,140000,20000
"2019-10-30 12:19:00","2019-10-30 00:00:00",141985699,1896290,28751,1010262,558000,20000
"2019-10-30 16:25:00","2019-10-30 00:00:00",142066268,101500044,28751,1010262,253000,20000
"2019-10-30 16:57:00","2019-10-30 00:00:00",142072541,101597867,28752,1010262,45000,13500
"2019-10-30 11:17:00","2019-10-30 00:00:00",141964226,101026558,28851,1010362,31500,9450
"2019-10-30 14:38:00","2019-10-30 00:00:00",142032040,1867521,28856,1010362,77000,20000
"2019-10-30 09:21:00","2019-10-30 00:00:00",141936456,102338448,28917,1010369,72000,20000
"2019-10-30 18:00:00","2019-10-30 00:00:00",142084469,102832579,28917,1010369,250000,20000
"2019-10-30 18:14:00","2019-10-30 00:00:00",142087253,101607550,28917,1010369,85000,20000
"2019-10-30 16:54:00","2019-10-30 00:00:00",142071943,103175394,28926,1010447,620000,20000
"2019-10-30 20:22:00","2019-10-30 00:00:00",142118360,101629822,28926,1010447,270000,20000
"2019-10-30 21:19:00","2019-10-30 00:00:00",142131723,102916897,28927,1010447,280000,20000
"2019-10-30 13:42:00","2019-10-30 00:00:00",142010343,102014853,2896,103109794,179000,20000
"2019-10-30 19:51:00","2019-10-30 00:00:00",142110558,100347249,28971,1010460,148000,20000
"2019-10-30 14:09:00","2019-10-30 00:00:00",142018771,100420048,28998,1010632,40000,12000
"2019-10-30 07:19:00","2019-10-30 00:00:00",141918393,100121946,29000,1010632,35000,10500
"2019-10-30 20:48:00","2019-10-30 00:00:00",142124725,103950880,29000,1010632,80750,20000
"2019-10-30 11:36:00","2019-10-30 00:00:00",141970586,101335410,29001,1010632,15000,4500
"2019-10-30 18:07:00","2019-10-30 00:00:00",142085708,1780238,2901,1955311,35000,10500
"2019-10-30 22:02:00","2019-10-30 00:00:00",142140734,100420966,2901,1955311,160000,20000
"2019-10-30 11:14:00","2019-10-30 00:00:00",141963502,103637886,29015,1010635,27000,8100
"2019-10-30 12:00:00","2019-10-30 00:00:00",141977433,101227449,29015,1010635,105000,20000
"2019-10-30 21:33:00","2019-10-30 00:00:00",142134716,101227119,29015,1010635,50000,15000
"2019-10-30 12:11:00","2019-10-30 00:00:00",141982764,100674106,29035,1010694,35000,10500
"2019-10-30 12:52:00","2019-10-30 00:00:00",141994613,1879851,29035,1010694,95000,20000
"2019-10-30 16:31:00","2019-10-30 00:00:00",142067577,103810419,29055,1010701,318000,20000
"2019-10-30 13:14:00","2019-10-30 00:00:00",142001785,104053385,29057,1010703,100000,20000
"2019-10-30 18:04:00","2019-10-30 00:00:00",142085122,100704834,29061,1010704,112000,20000
"2019-10-30 19:01:00","2019-10-30 00:00:00",142097213,100770419,29072,1010777,82000,20000
"2019-10-30 19:58:00","2019-10-30 00:00:00",142112273,101231689,29072,1010777,48000,14400
"2019-10-30 20:29:00","2019-10-30 00:00:00",142120246,2025363,29075,1010778,83000,20000
"2019-10-30 11:13:00","2019-10-30 00:00:00",141963185,101039570,29079,1010780,1,0
"2019-10-30 09:16:00","2019-10-30 00:00:00",141935454,1773030,29083,1010781,60000,18000
"2019-10-30 18:41:00","2019-10-30 00:00:00",142092972,1662017,29085,1010781,86000,20000
"2019-10-30 12:57:00","2019-10-30 00:00:00",141995841,1630679,29092,1010833,38000,11400
"2019-10-30 12:57:00","2019-10-30 00:00:00",141995926,1310769,29092,1010833,38000,11400
